CountryID,Country,Region,FreedomRank,RegionRank,2016 Score,Population,GDPBillions,Unemployment
96,Libya,Middle East / North Africa,N/A,N/A,N/A,6.2,$97.60 ,19.2
97,Liechtenstein,Europe,N/A,N/A,N/A,"37,624",$5.80 ,2.3
98,Lithuania,Europe,13,6,75.2,2.9,$79.60 ,11.3
99,Luxembourg,Europe,19,9,73.9,0.6,$51.40 ,6.1
100,Macao,Asia-Pacific,37,9,70.1,0.6,80.8,N/A
101,Macedonia,Europe,47,22,67.5,2.1,$27.60 ,27.9
102,Madagascar,Sub-Saharan Africa,87,9,61.1,23.6,$33.90 ,3.6
103,Malawi,Sub-Saharan Africa,146,36,51.8,17.6,$13.70 ,7.5
104,Malaysia,Asia-Pacific,29,8,71.5,30.3,$746.10 ,2
105,Maldives,Asia-Pacific,132,28,53.9,0.3,$4.90 ,11.6
106,Mali,Sub-Saharan Africa,121,23,56.5,15.8,$27.30 ,8.1
107,Malta,Europe,55,24,66.7,0.4,$14.10 ,5.9
108,Mauritania,Sub-Saharan Africa,128,25,54.8,3.6,$15.50 ,31
109,Mauritius,Sub-Saharan Africa,15,1,74.7,1.3,$23.40 ,7.7
110,Mexico,North America,62,3,65.2,119.7,"$2,140.60 ",4.9
111,Micronesia,Asia-Pacific,147,32,51.8,0.1,$0.30 ,N/A
112,Moldova,Europe,117,40,57.4,3.6,$17.70 ,3.4
113,Mongolia,Asia-Pacific,100,22,59.4,2.9,$34.80 ,4.8
114,Montenegro,Europe,65,31,64.9,0.6,$9.40 ,19.1
115,Morocco,Middle East / North Africa,85,9,61.3,33.2,$252.40 ,10.2
116,Mozambique,Sub-Saharan Africa,139,31,53.2,26.5,$31.10 ,22.6
117,Namibia,Sub-Saharan Africa,81,8,61.9,2.2,$23.60 ,18.6
118,Nepal,Asia-Pacific,151,34,50.9,28.1,$66.80 ,2.7
119,Netherlands,Europe,16,7,74.6,16.9,$798.60 ,6.9
120,New Zealand,Asia-Pacific,3,3,81.6,4.5,$158.90 ,5.6
121,Nicaragua,South and Central America / Caribbean,109,18,58.6,6.2,$29.50 ,5.3
122,Niger,Sub-Saharan Africa,129,26,54.3,17.1,$17.90 ,5.1
123,Nigeria,Sub-Saharan Africa,116,20,57.5,173.9,"$1,049.10 ",7.5
124,Norway,Europe,32,16,70.8,5.2,$345.20 ,3.4
125,Oman,Middle East / North Africa,52,6,67.1,4.1,$162.40 ,7.2
126,Pakistan,Asia-Pacific,126,26,55.9,186.3,$882.30 ,5.2
127,Panama,South and Central America / Caribbean,66,13,64.8,3.9,$76.40 ,4.3
128,Papua New Guinea,Asia-Pacific,140,30,53.2,7.5,$18.10 ,2.5
129,Paraguay,South and Central America / Caribbean,83,16,61.5,6.9,$58.30 ,4.5
130,Peru,South and Central America / Caribbean,49,9,67.4,31.4,$371.30 ,4.2
131,Philippines,Asia-Pacific,70,14,63.1,99.4,$692.20 ,7.1
132,Poland,Europe,39,18,69.3,38,$954.50 ,9.2
133,Portugal,Europe,64,30,65.1,10.4,$280.40 ,14.2
134,Qatar,Middle East / North Africa,34,3,70.7,2.2,$320.50 ,0.3
135,Romania,Europe,61,29,65.6,19.9,$392.80 ,7
136,Russia,Europe,153,42,50.6,143.7,"$3,564.50 ",5.1
137,Rwanda,Sub-Saharan Africa,71,4,63.1,11.1,$18.80 ,0.6
138,Saint Lucia,South and Central America / Caribbean,38,4,70,0.2,$2.00 ,N/A
139,Saint Vincent ,South and Central America / Caribbean,40,5,68.8,0.1,$1.20 ,N/A
140,Samoa,Asia-Pacific,69,13,63.5,0.2,$1.00 ,N/A
141,São Tomé and Príncipe,Sub-Saharan Africa,120,22,56.7,0.2,$0.60 ,N/A
142,Saudi Arabia,Middle East / North Africa,78,8,62.1,30.8,"$1,605.70 ",5.6
